"","Species","German_name","Family","Suborder","germanRange","since","Flight_start","Flight_end","Taxon","Genus","Habitat","Endemic.to.Europe","EU.Red.List.Europe","Habitat.Directive","Threath.status.on.European.Red.List","species","lowerLat","upperLat","minLong","maxLong","nuEuroGrids","species..German.","development.time..max.","development.time..min.","devTime","Voltinism_Corbet","Migration","meanTemp","medTemp","sdTemp","medAb","medHw","Generalism","Flow","stream","river","pond","lake","marsh.wetlands","ditch","canal","fens","heath.moor","bog","woodland.forest","sand.gravel.pits.quarries","man.made","seasonal","Reference","VoltinismProp","Overwintering","Uni","RedList","GermanRedList"
"22","Coenagrion lunulatum","Mond Azurjungfer ","Coenagrionidae","Zygoptera",16.8,8.1,4.3,6.1,"Ischnura pumilio (Charpentier, 1825)","Coenagrion","Standing","No","Least Concern","No","No","lunulatum","44,48286","70,53387","-5,65413","9,99715",645,"Mond-Azurjungfer",1,1,1,"","",7.16221499870471,7.85895105904224,2.42753324001446,24,19,"specialist","standing",0,0,2,2,0,0,0,2,0,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.2,"Larva",4,"critically endangered","1"
"23","Coenagrion mercuriale","Helm Azurjungfer ","Coenagrionidae","Zygoptera",8.2,6.2,6.2,7.2,"Aeshna viridis Eversmann, 1836","Coenagrion","Running","No","Near Threatened","Yes","No","mercuriale","36,81768","53,92305","-0,12166","9,99715",841,"Helm-Azurjungfer",1,1,1,"S","",11.3547294287392,11.1254890779899,2.4375276807492,23,16.5,"specialist","standing",2,0,0,0,0,2,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.4,"Larva",4,"endangered","2"
"24","Coenagrion ornatum","Vogel Azurjungfer ","Coenagrionidae","Zygoptera",2.7,1.9,6.1,7.1,"Anax ephippiger (Burmeister, 1839)","Coenagrion","Running","No","Near Threatened","Yes","No","ornatum","36,81753","54,36231","10,02337","9,37714",408,"Vogel-Azurjungfer",1,2,1.5,"","",9.76660271547195,9.66808272510567,1.8218187788371,25,20.5,"specialist","standing",2,0,0,0,0,2,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.4,"Larva",4,"critically endangered","1"
"25","Coenagrion puella","Hufeisen Azurjungfer ","Coenagrionidae","Zygoptera",92.6,80.3,5.3,7.1,"Ischnura saharensis Aguesse, 1958","Coenagrion","Standing","No","Least Concern","No","No","puella","36,36691","63,33665","-0,01000","9,99715",3236,"Hufeisen-Azurjungfer",1,1,1,"S/U","",9.51415337498731,9.28755508699725,2.64821499453721,26.5,19.5,"generalist","standing, slow-flowing",0,0,2,2,0,2,2,2,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.8,"Larva",8,"least concern","*"
"26","Coenagrion pulchellum","Fledermaus Azurjungfer ","Coenagrionidae","Zygoptera",52,37.7,5.3,6.3,"Ischnura senegalensis (Rambur, 1842)","Coenagrion","Standing","No","Least Concern","No","No","pulchellum","36,81753","65,57811","-0,02526","9,99715",2367,"Fledermaus-Azurjungfer",1,2,1.5,"U","",8.67321848821925,8.63034888341387,2.57755899430215,27.5,19.5,"generalist","standing, slow-flowing",0,2,2,2,0,2,2,2,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.8,"Larva",8,"least concern","*"
"27","Coenagrion scitulum","Gabel Azurjungfer ","Coenagrionidae","Zygoptera",1.6,1.6,5.3,7.1,"Lestes barbarus (Fabricius, 1798)","Coenagrion","Standing","No","Least Concern","No","No","scitulum","35,00759","52,57949","-0,12166","9,94285",822,NA,NA,NA,NA,NA,NA,11.8278137987552,11.5115990863087,2.45667787530906,23.5,17,"specialist","standing (slow-flowing)",0,0,2,2,0,2,0,0,0,0,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.8,"Larva",8,"vulnerable","R"
"28","Cordulegaster bidentata","Gestreifte Quelljungfer ","Cordulegastridae","Anisoptera",12.9,8.6,6.2,7.3,"Anax immaculifrons Rambur, 1842","Cordulegaster","Running","Yes","Near Threatened","No","No","bidentata","37,71881","52,57944","-0,27104","9,99715",765,"Gestreifte Quelljungfer",4,6,5,"P","",9.04250992247228,8.8849714986268,2.46289283894063,56,43.5,"specialist","running",2,0,0,0,0,0,0,0,0,0,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",0.5,"Larva",0,"vulnerable","3"
"29","Cordulegaster boltonii","Zweigestreifte Quelljungfer ","Cordulegastridae","Anisoptera",35.4,26.4,7.1,8.1,"Anax imperator Leach, 1815","Cordulegaster","Running","No","Least Concern","No","No","boltonii","35,89856","67,36972","-0,06871","9,99715",1931,"Zweigestreifte Quelljungfer",4,5,4.5,"P","",8.95433172309743,9.03674183674789,3.42173530594501,58,43.5,"specialist","running",2,0,0,0,0,0,0,0,2,0,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.3,"Larva",0,"least concern","*"
"30","Cordulia aenea","Falkenlibelle ","Corduliidae","Anisoptera",70.5,58.2,5.3,6.3,"Lestes dryas Kirby, 1890","Cordulia","Standing","No","Least Concern","No","No","aenea","37,71866","70,08566","-0,06871","9,99715",2333,"Gemeine Smaragdlibelle",2,3,2.5,"P/S","",7.81095916630949,8.15819613306146,2.84716171306954,34.5,32,"specialist","standing, slow-flowing",0,2,2,2,0,0,2,2,2,2,2,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"least concern","*"
"31","Crocothemis erythraea","Feuerlibelle ","Libellulidae","Anisoptera",26,25.1,6.2,8.1,"Lestes macrostigma (Eversmann, 1836)","Crocothemis","Standing","No","Least Concern","No","No","erythraea","27,80251","55,27584","-0,05569","9,97277",2100,"Feuerlibelle",1,1,1,"B/M","",11.5556628859214,11.13588919184,3.0574101692996,25.5,28,"generalist","standing, running",0,0,2,2,0,0,0,0,0,0,0,2,0,0,"https://libellenwissen.de/libellenarten/grosslibellen/segellibellen-libellulidae/feuerlibelle/",3.8,"Larva",3,"least concern","*"
