"Year"	"State"
1980	"SH"
1981	"SH"
1982	"SH"
1983	"SH"
1984	"SH"
1985	"SH"
1986	"SH"
1987	"SH"
1988	"SH"
1989	"SH"
1990	"SH"
1991	"SH"
1992	"SH"
1993	"SH"
1994	"SH"
1995	"SH"
1996	"SH"
1997	"SH"
1998	"SH"
1999	"SH"
2000	"SH"
2001	"SH"
2002	"SH"
2003	"SH"
2004	"SH"
2005	"SH"
2006	"SH"
2007	"SH"
2008	"SH"
2009	"SH"
2010	"SH"
2011	"SH"
2012	"SH"
2013	"SH"
2014	"SH"
2015	"SH"
2016	"SH"
