"Year"	"State"
1986	"RLP"
1987	"RLP"
1988	"RLP"
1989	"RLP"
1990	"RLP"
1991	"RLP"
1992	"RLP"
1993	"RLP"
1994	"RLP"
1995	"RLP"
1996	"RLP"
1997	"RLP"
1999	"RLP"
2000	"RLP"
2001	"RLP"
2002	"RLP"
2003	"RLP"
2004	"RLP"
2005	"RLP"
2006	"RLP"
2007	"RLP"
2008	"RLP"
2009	"RLP"
2010	"RLP"
2011	"RLP"
2012	"RLP"
2013	"RLP"
2014	"RLP"
