"Year"	"State"
1983	"Sax"
1984	"Sax"
1985	"Sax"
1986	"Sax"
1987	"Sax"
1988	"Sax"
1989	"Sax"
1990	"Sax"
1991	"Sax"
1993	"Sax"
1994	"Sax"
1995	"Sax"
1997	"Sax"
1998	"Sax"
1999	"Sax"
2000	"Sax"
2001	"Sax"
2002	"Sax"
2003	"Sax"
2004	"Sax"
2005	"Sax"
2006	"Sax"
2007	"Sax"
2008	"Sax"
2009	"Sax"
2010	"Sax"
2011	"Sax"
2012	"Sax"
2013	"Sax"
2014	"Sax"
2015	"Sax"
2016	"Sax"
2017	"Sax"
