"Year"	"State"
1988	"Thu"
1989	"Thu"
1990	"Thu"
1991	"Thu"
1992	"Thu"
1993	"Thu"
1994	"Thu"
1995	"Thu"
1996	"Thu"
1997	"Thu"
1998	"Thu"
1999	"Thu"
2000	"Thu"
2001	"Thu"
2002	"Thu"
2003	"Thu"
2004	"Thu"
2005	"Thu"
2006	"Thu"
2007	"Thu"
2008	"Thu"
2009	"Thu"
2010	"Thu"
2011	"Thu"
2012	"Thu"
2013	"Thu"
2014	"Thu"
2015	"Thu"
2016	"Thu"
2017	"Thu"
