"Year"	"State"
1980	"Bav"
1981	"Bav"
1982	"Bav"
1983	"Bav"
1984	"Bav"
1985	"Bav"
1986	"Bav"
1987	"Bav"
1988	"Bav"
1989	"Bav"
1990	"Bav"
1991	"Bav"
1992	"Bav"
1993	"Bav"
1994	"Bav"
1995	"Bav"
1996	"Bav"
1997	"Bav"
1998	"Bav"
1999	"Bav"
2000	"Bav"
2001	"Bav"
2002	"Bav"
2003	"Bav"
2004	"Bav"
2005	"Bav"
2006	"Bav"
2007	"Bav"
2008	"Bav"
2009	"Bav"
2010	"Bav"
2011	"Bav"
2012	"Bav"
2013	"Bav"
2014	"Bav"
2015	"Bav"
2016	"Bav"
2017	"Bav"
