"Year"	"State"
1981	"MV"
1982	"MV"
1983	"MV"
1984	"MV"
1985	"MV"
1986	"MV"
1987	"MV"
1988	"MV"
1989	"MV"
1990	"MV"
1991	"MV"
1992	"MV"
1993	"MV"
1994	"MV"
1995	"MV"
1996	"MV"
1997	"MV"
1998	"MV"
1999	"MV"
2000	"MV"
2001	"MV"
2002	"MV"
2003	"MV"
2004	"MV"
2005	"MV"
2006	"MV"
2007	"MV"
2008	"MV"
2009	"MV"
2010	"MV"
2011	"MV"
2012	"MV"
2013	"MV"
2014	"MV"
2015	"MV"
2016	"MV"
2017	"MV"
