Latitude,Longitude,MGRS.WGS84
44.92941,15.95746,33TWK7555575554
44.01216,17.1901,33TXJ7555475555
43.56229,17.17373,33TXJ7555525554
44.4724,16.5786,33TXK2555425555
43.54885,17.73807,33TYJ2118325409
44.89768,17.7667,33TYK1844675308
43.09948,18.27103,34TBN7791975477
43.54919,18.26192,34TBP7881725447
43.99885,18.2526,34TBP7972275415
44.89803,18.23329,34TBQ8155475347
45.34756,18.22329,34TBR8248025312
44.91204,18.79004,34TCQ2555475555
43.99851,17.74739,33TYJ2027875377
42.64974,18.27993,34TBN7702925507
43.11264,18.8559,34TCN2555475554
44.0226,19.44723,34TCP7555475555
44.92234,16.59088,33TXK2555575554
44.46198,17.20686,33TXK7555525554
44.44812,17.75694,33TYK1936625343
43.56255,18.84001,34TCP2555525554
44.46225,18.80709,34TCQ2555525554
43.11239,17.15773,33TXH7555475555
44.91177,17.22401,33TXK7555575555
44.44846,18.24306,34TBQ8063425381
44.92254,19.42318,34TCQ7555575555
44.47259,19.43535,34TCQ7555525555
44.47936,15.95007,33TWK7555525555
45.3472,17.7767,33TYL1751925272
45.37225,16.60345,33TXL2555525554
45.36151,17.24157,33TXL7555525555
45.37943,15.96502,33TWL7555425554
43.57257,19.45885,34TCP7555525554
42.64941,17.72006,33TYH2297025470
41.31236,23.09729,34TFL7555575554
41.76243,23.11189,34TFM7555525555
42.66244,23.1421,34TFN7555525554
42.19963,23.71136,34TGM2385375500
43.99851,23.74739,34TGP2027875377
42.19995,24.28863,35TKG7614675536
42.64974,24.27993,35TKH7702925507
43.09948,24.27103,35TKH7791975477
42.2127,24.88662,35TLG2555575554
42.22226,25.49212,35TLG7555575554
42.6724,25.48128,35TLH7555425554
43.56255,24.84001,35TLJ2555525554
42.22863,26.09786,35TMG2555475555
42.23179,26.70376,35TMG7555575554
44.03275,26.69493,35TMJ7555475555
42.22852,27.91559,35TNG7555575554
42.68205,27.31192,35TNH2555425555
43.12896,27.9289,35TNH7555475554
42.67876,27.92217,35TNH7555525554
43.57913,27.93579,35TNJ7555425554
42.22209,22.52133,34TFM2555575555
44.02241,22.56661,34TFP2555475554
44.01216,23.1901,34TFP7555475555
42.64941,23.72006,34TGN2297025470
41.75012,24.29713,35TKG7527125563
43.54919,24.26192,35TKJ7881725447
41.32187,25.51306,35TLF7555475555
41.76267,24.90146,35TLG2555525554
41.77209,25.50271,35TLG7555425555
42.66269,24.87144,35TLH2555525554
43.57257,25.45885,35TLJ7555525554
41.32804,26.1104,35TMF2555575555
42.67887,26.09138,35TMH2555525555
42.68208,26.70163,35TMH7555525554
43.57924,26.07795,35TMJ2555425554
42.23176,27.3097,35TNG2555575555
44.03271,27.31892,35TNJ2555575555
43.57239,28.5549,35TPJ2555525555
42.21245,23.12682,34TFM7555575554
43.11239,23.15773,34TFN7555475555
41.29994,23.69406,34TGL2555575555
41.74981,23.70286,34TGM2472825529
43.12251,25.47019,35TLH7555475555
41.77835,26.1042,35TMG2555425554
44.02938,26.071,35TMJ2555475555
43.1323,27.3142,35TNH2555475554
42.67222,22.53226,34TFN2555525554
43.56229,23.17373,34TFP7555525554
43.09916,23.72896,34TGN2208075441
43.12907,26.08474,35TMH2555475554
43.57239,22.5549,34TFP2555525555
43.54885,23.73807,34TGP2118325409
43.11264,24.8559,35TLH2555475554
41.77825,27.90915,35TNG7555425555
41.78143,27.30752,35TNG2555525554
41.3126,24.91596,35TLF2555475554
43.13234,26.69945,35TMH7555575554
41.78147,26.70584,35TMG7555525555
43.58256,26.69722,35TMJ7555525554
43.58252,27.31653,35TNJ2555425554
44.92254,13.42318,33TUK7555575555
44.93301,14.69021,33TVK7555575555
45.38308,14.68776,33TVL7555525554
44.03271,15.31892,33TWJ2555575555
44.93297,15.32386,33TWK2555475555
45.38304,15.32642,33TWL2555425554
45.82942,15.97277,33TWL7555475555
46.27937,15.9807,33TWM7555425555
45.82213,16.61632,33TXL2555575555
46.27196,16.62949,33TXM2555425555
46.26087,17.27796,33TXM7555425554
45.79668,17.78694,33TYL1658575235
45.36179,18.77259,34TCR2555425555
45.81149,18.75473,34TCR2555575554
45.37245,13.41072,33TUL7555425554
44.92953,14.05661,33TVK2555575554
45.37955,14.04915,33TVL2555425554
44.02926,15.94285,33TWJ7555575554
44.48286,15.32136,33TWK2555425555
45.83309,15.32904,33TWL2555475555
43.57239,16.5549,33TXJ2555525555
45.81121,17.25955,33TXL7555575554
44.48289,14.6926,33TVK7555525554
43.12232,16.54345,33TXH2555575554
43.12896,15.9289,33TWH7555475554
42.66244,17.1421,33TXH7555525554
46.28309,15.33173,33TWM2555525554
46.72175,16.64299,33TXM2555575554
42.67222,16.53226,33TXH2555525554
44.47947,14.06389,33TVK2555525554
42.22209,16.52133,33TXG2555575555
43.57913,15.93579,33TWJ7555425554
43.58252,15.31653,33TWJ2555425554
34.57147,32.7335,36SVD7555525554
35.02236,32.73204,36SVD7555475555
35.01983,33.82817,36SWD7555475555
34.57145,33.2786,36SWD2555425555
35.02233,33.28013,36SWD2555575555
35.91626,34.39157,36SXE2555575555
35.01991,32.18399,36SVD2555475555
35.47318,33.28168,36SWE2555425555
35.47063,33.83277,36SWE7555425554
34.56907,32.18842,36SVD2555425555
35.4732,32.73055,36SVE7555425554
48.97037,13.29957,33UUQ7555525555
49.42811,13.97336,33UVQ2555575555
49.43217,14.66286,33UVQ7555475554
50.33158,14.65654,33UVR7555475554
49.43213,15.35245,33UWQ2555575555
49.42797,16.04195,33UWQ7555575554
49.41971,16.73121,33UXQ2555475555
49.40733,17.42008,33UXQ7555475554
48.95797,17.39826,33UXQ7555525555
50.30594,17.46541,33UXR7555575554
49.39087,17.87834,33UYQ0886374892
49.83993,17.89108,33UYR0786724843
49.39128,18.12165,34UBV9113774938
49.40765,12.59521,33UUQ2555575554
50.30627,12.55016,33UUR2555475554
49.85699,12.57297,33UUR2555525555
49.86946,13.26821,33UUR7555525554
50.31895,13.25193,33UUR7555575555
50.7684,13.23523,33UUS7555525555
48.97842,13.98262,33UVQ2555425555
50.32739,13.95411,33UVR2555575555
49.8819,14.65974,33UVR7555425555
50.77697,13.94411,33UVS2555425555
50.78123,14.65326,33UVS7555525554
50.33154,15.35905,33UWR2555475555
49.88185,15.35571,33UWR2555525555
49.87763,16.05159,33UWR7555425555
50.32724,16.06148,33UWR7555475554
50.78119,15.36249,33UWS2555525555
48.50856,17.37696,33UXP7555475555
49.86923,16.74723,33UXR2555425555
50.31871,16.76366,33UXR2555575554
49.85666,17.44246,33UXR7555425554
48.94176,17.86591,33UYQ0985224940
49.84035,18.10891,34UBA9213324889
49.85699,18.57297,34UCA2555525555
50.77683,16.07163,33UWS7555525555
49.41993,13.28409,33UUQ7555575554
49.40765,18.59521,34UCV2555575554
50.28937,12.09585,33UTR9313674839
49.87777,13.96385,33UVR2555425555
51.22652,13.93386,33UVS2555575555
51.23085,14.64989,33UVS7555575555
51.2308,15.36601,33UWS2555575554
48.94216,18.13408,34UBV9014824985
50.76816,16.78051,33UXS2555525555
48.95828,18.61689,34UCV2555425554
55.27066,10.18918,32UNG7555525555
55.27584,14.61521,33UVB7555425554
54.82653,8.6195,32UMF7555575554
55.72002,7.81488,32UMG2555575555
55.27584,8.61521,32UMG7555425554
55.72512,8.61081,32UMG7555575555
54.82648,9.39778,32UNF2555575555
54.82144,10.17594,32UNF7555575555
55.72506,9.40686,32UNG2555475555
55.27579,9.40226,32UNG2555525555
55.71984,10.20279,32UNG7555575554
54.81141,10.95374,32UPF2555575555
