"Year"	"State"
1980	"NRW"
1981	"NRW"
1982	"NRW"
1983	"NRW"
1984	"NRW"
1985	"NRW"
1986	"NRW"
1987	"NRW"
1988	"NRW"
1989	"NRW"
1990	"NRW"
1991	"NRW"
1992	"NRW"
1993	"NRW"
1994	"NRW"
1995	"NRW"
1996	"NRW"
1997	"NRW"
1998	"NRW"
1999	"NRW"
2000	"NRW"
2001	"NRW"
2002	"NRW"
2003	"NRW"
2004	"NRW"
2005	"NRW"
2006	"NRW"
2007	"NRW"
2008	"NRW"
2009	"NRW"
2010	"NRW"
2011	"NRW"
