MTB_Natur,mtb_nr_order2_try2
Untere Havelniederung,ELBTALNIEDERUNG
Untere Mittelelbe-Niederung,ELBTALNIEDERUNG
Untere Odertalniederung,ODERTAL
Untere Rheinniederung,NIEDERRHEINISCHES TIEFLAND
Unterer Vogelsberg,OSTHESSISCHES BERGLAND
Unteres Eichsfeld,WESER-LEINEBERGLAND
Unteres Illertal,DONAU-ILLER-LECH-PLATTEN
Unteres Inntal,ISAR-INN-SCHOTTERPLATTEN
Unteres Isartal,UNTERBAYERISCHES HÜGELLAND
Unteres Mittelrheingebiet,MITTELRHEINGEBIET
Unteres Naheland,NÖRDLICHES OBERRHEINTIEFLAND
Unteres Osterzgebirge,ERZGEBIRGE
"Unteres Rhinluch, Oberes Rhinluch u. Havellaendisches Luch",LUCHLAND 
Unteres Saartal,MOSELTAL
Unteres Unstrut-Berg- und Huegelland,THÜRINGER BECKEN UND RANDPLATTEN 
Unteres Werratal,OSTHESSISCHES BERGLAND
Unteres Westerzgebirge,ERZGEBIRGE
Unterharz,HARZ
Untermainebene,RHEIN-MAIN-TIEFLAND
Usedomer Huegelland,MECKLENBURGISCH-VORPOMMERSCHES KÜSTENGEBIET
VennfuÃ¡flaeche,VENNVORLAND
Verdener Wesertal,WESER-ALLER-FLACHLAND
Vilsergebirge,SCHWÄBISCH-OBERBAYERISCHE VORALPEN
Vorder- und Kuppenrhoen,OSTHESSISCHES BERGLAND
Vorderer Bayerischer Wald,OBERPFÄLZER UND BAYERISCHER WALD
Vorderer Bregenzer Wald,SCHWÄBISCH-OBERBAYERISCHE VORALPEN
Vorderer Oberpfaelzer Wald,OBERPFÄLZER UND BAYERISCHER WALD
Vorderer Odenwald,"ODENWALD,SPESSART UND SÜDRHÖN"
Vorderer Spessart,"ODENWALD,SPESSART UND SÜDRHÖN"
Vorderer Vogelsberg,WESTHESSISCHES BERGLAND
Vorderpfaelzer Tiefland,NÖRDLICHES OBERRHEINTIEFLAND
Vorland der Mittleren Frankenalb,FRÄNKISCHES KEUPER-LIAS-LAND 
Vorland der mittleren Schwaebischen Alb,SCHWÄBISCHES KEUPER-LIAS-LAND
Vorland der Noerdlichen Frankenalb,FRÄNKISCHES KEUPER-LIAS-LAND 
Vorland der oestlichen Schwaebischen Alb,SCHWÄBISCHES KEUPER-LIAS-LAND
Vorland der Suedlichen Frankenalb,FRÄNKISCHES KEUPER-LIAS-LAND 
Vorland der westlichen Schwaebischen Alb,SCHWÄBISCHES KEUPER-LIAS-LAND
Vortaunus,TAUNUS
Waldecker Tafelland,WESTHESSISCHES BERGLAND
Waldhuegelland des Oberbarnims,OSTBRANDENBURGISCHE PLATTE
Warburger Boerde,OBERES WESERBERGLAND
Warnow-Recknitz-Gebiet (mit Buetzower und Guestrower Becken),RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE
Wegscheider Hochflaeche,OBERPFÄLZER UND BAYERISCHER WALD
Weilburger Lahntal,LAHNTAL
Wern-Lauer-Platte,MAINFRÄNKISCHE PLATTEN
Wesermarschen,EMS-WESER-MARSCH
Wesermuendung Geest,STADER GEEST 
Westallgaeuer Huegelland,VORALPINES HÜGEL-UND MOORLAND
Westaltmaerkisches Waldhuegelland,ALTMARK
Westbarnim,OSTBRANDENBURGISCHE PLATTE
Westernhellweg,WESTFÄLISCHE TIEFLANDSBUCHT
Westhavellaendisches Laendchen,LUCHLAND 
Westhessische Senke,WESTHESSISCHES BERGLAND
Westlausitzer Vorberge,OBERLAUSITZ
Westliche Flaeminghochflaeche,FLÄMING
Westliche Hocheifel,WESTEIFEL
Westlicher Hintertaunus,TAUNUS
Westmecklenburgisches Seenhuegelland,MECKLENBURGISCHE SEENPLATTE
Westmuensterland,WESTFÄLISCHE TIEFLANDSBUCHT
Westsauerlaender Oberland,BERGISCH-SAUERLÄNDISCHES GEBIRGE (SÜDERBERGLAND)
Westthueringer Berg- und Huegelland,THÜRINGER BECKEN UND RANDPLATTEN 
Wetterau,RHEIN-MAIN-TIEFLAND
Wettersteingebirge,NÖRDLICHE KALKHOCHALPEN
Wittlicher Senke,MOSELTAL
Wittstock-Ruppiner Heide,NORDBRANDENBURGISCHES PLATTEN-UND HÜGELLAND
Woldegk-Feldberger Huegelland,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE
Wuemmeniederung,STADER GEEST
Zehdenick-Spandauer Havelniederung,LUCHLAND
Zentraler Flaeming,FLÄMING
Zerbster Land (mit Leitzkauer Hoehen),FLÄMING
Zevener Geest,STADER GEEST
Zossen-Teupitzer Platten- und Huegelland,OSTBRANDENBURGISCHES HEIDE-UND SEENGEBIET
Zuelpicher Boerde,NIEDERRHEINISCHE BUCHT
Zweibruecker Westrich,PFÄLZISCH-SAARLÄNDISCHES MUSCHELKALKGEBIET
Ã–stliches Wiehengebirge (Luebbecker Eggen),UNTERES WESERBERGLAND 
Bergstrasse,NÖRDLICHES OBERRHEINTIEFLAND 
Grosses Bruch,NÖRDLICHES HARZVORLAND
Helgoland,SCHLESWIG-HOLSTEINISCHE MARSCHEN (UND INSELN)
Holzmindener Weserland,OBERES WESERBERGLAND
Idsteiner Senke,TAUNUS
Ingelheimer Rheinebene,RHEIN-MAIN-TIEFLAND
Kaiserstuhl,SÜDLICHES OBERRHEINTIEFLAND
Karower Platte,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN
Kyffhaeusergebirge,THÜRINGER BECKEN UND RANDPLATTEN
Lahr-Emmendinger Vorberge,MITTLERES OBERRHEINTIEFLAND
Mittleres Maintal,MAINFRÄNKISCHE PLATTEN
Mittleres Saaletal,THÜRINGER BECKEN UND RANDPLATTEN
Neuenhagener Sporn,ODERTAL
Niederwerdenfelser Land,SCHWÄBISCH-OBERBAYERISCHE VORALPEN
Oberstdorfer Becken,NÖRDLICHE KALKHOCHALPEN
Orlasenke,THÜRINGER BECKEN UND RANDPLATTEN
Ortenau-Buehler Vorberge,MITTLERES OBERRHEINTIEFLAND
Paulinzellaer Vorland,THÜRINGER BECKEN UND RANDPLATTEN
Rheinhunsrueck,HUNSRÜCK
Sandterrassen des unteren Odertals,ODERTAL
Schlebusch-Wahner Heide,NIEDERRHEINISCHE BUCHT
Stuttgarter Bucht,SCHWÄBISCHES KEUPER-LIAS-LAND
Unteres Lahntal,LAHNTAL 
Ville,NIEDERRHEINISCHE BUCHT
Waltershaeuser Vorberge,THÜRINGER BECKEN UND RANDPLATTEN
Weserengtal von Bodenwerder,OBERES WESERBERGLAND
Westliches Wiehengebirge (Wittlager Eggen),UNTERES WESERBERGLAND
Windsheimer Bucht,MAINFRÄNKISCHE PLATTEN
Zittauer Gebirge,SÄCHSISCH-BÖHMISCHES KREIDESANDSTEINGEBIET
