"Year"	"State"
1981	"Sa"
1982	"Sa"
1983	"Sa"
1984	"Sa"
1985	"Sa"
1986	"Sa"
1987	"Sa"
1988	"Sa"
1989	"Sa"
1990	"Sa"
1991	"Sa"
1992	"Sa"
1993	"Sa"
1994	"Sa"
1995	"Sa"
1996	"Sa"
1997	"Sa"
1998	"Sa"
1999	"Sa"
2000	"Sa"
2001	"Sa"
2002	"Sa"
2003	"Sa"
2004	"Sa"
2005	"Sa"
2006	"Sa"
2007	"Sa"
2008	"Sa"
2009	"Sa"
2010	"Sa"
2011	"Sa"
2012	"Sa"
2013	"Sa"
2014	"Sa"
2015	"Sa"
2016	"Sa"
2017	"Sa"
