"Year"	"State"
1981	"He"
1982	"He"
1983	"He"
1984	"He"
1985	"He"
1986	"He"
1987	"He"
1988	"He"
1989	"He"
1990	"He"
1991	"He"
1992	"He"
1993	"He"
1994	"He"
1995	"He"
1996	"He"
1997	"He"
1998	"He"
1999	"He"
2000	"He"
2001	"He"
2002	"He"
2003	"He"
2004	"He"
2005	"He"
2006	"He"
2007	"He"
2008	"He"
2009	"He"
2010	"He"
2011	"He"
2012	"He"
2013	"He"
2014	"He"
2015	"He"
2016	"He"
2017	"He"
