"Year"	"State"
1994	"SAnhalt"
1995	"SAnhalt"
1996	"SAnhalt"
1997	"SAnhalt"
1998	"SAnhalt"
1999	"SAnhalt"
2000	"SAnhalt"
2001	"SAnhalt"
2002	"SAnhalt"
2003	"SAnhalt"
2004	"SAnhalt"
2005	"SAnhalt"
2006	"SAnhalt"
2007	"SAnhalt"
2008	"SAnhalt"
2009	"SAnhalt"
2010	"SAnhalt"
2011	"SAnhalt"
2012	"SAnhalt"
2013	"SAnhalt"
2014	"SAnhalt"
2015	"SAnhalt"
2016	"SAnhalt"
2017	"SAnhalt"
